19274,# doc = MVI_1618.2.txt,,,,,,,,,,,,,,,,
19275,# speaker = Ольга,,,,,,,,,,,,,,,,
19276,# sent = 1426,,,,,,,,,,,,,,,,
19277,,Однажды,ОДНАЖДЫ,ADV -,,,_Однажды_ довелось нам быть,ы,д,ж,а,н,д,ADV,ОДНАЖДЫ,ADV -,Ы
19278,,довелось,ДОВЕСТИСЬ,V pf praet sg indic n -,,,Однажды _довелось_ нам быть в,ь,с,о,л,е,в,V,ДОВЕСТИСЬ,V pf praet sg indic n -,Ь
19279,,нам,МЫ,SPRO pl 1p - dat,,,Однажды довелось _нам_ быть в Африке,м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
19280,,быть,БЫТЬ,V ipf - - inf - -,,,Однажды довелось нам _быть_ в Африке .,ь,т,ы,б,,,V,БЫТЬ,V ipf - - inf - -,Ь
19281,,в,В,PR,,,довелось нам быть _в_ Африке .,в,,,,,,PR,В,PR,В
19282,,Африке,АФРИКА,S f inan loc sg,,,нам быть в _Африке_ .,е,к,и,р,ф,а,S,АФРИКА,S f inan loc sg,А
19283,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19284,,,,,,,,,,,,,,,,,
19285,# sent = 1427,,,,,,,,,,,,,,,,
19286,"<distinct form=""",,,,,,,,,,,,,,,,
19287,<dist>,ээ,,,,,,,,,,,,,,,
19288,""">",,,,,,,,,,,,,,,,
19289,,эээ,ЭЭЭ,INTJ,,,"ээ _эээ_ , мы",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19290,</distinct>,,,,,,,,,,,,,,,,
19291,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19292,,мы,МЫ,SPRO pl 1p - nom,,,"эээ , _мы_ путешествовали по Африке",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19293,,путешествовали,ПУТЕШЕСТВОВАТЬ,V ipf praet pl indic - -,,,", мы _путешествовали_ по Африке два",и,л,а,в,о,в,V,ПУТЕШЕСТВОВАТЬ,V ipf praet pl indic - -,Ь
19294,,по,ПО,PR,,,", мы путешествовали _по_ Африке два ...",о,п,,,,,PR,ПО,PR,О
